project_name,task_name,source_datasets,target_datasets,location
datalake-cleansing,CarAgeTask,['manual.carAges'],['clean.carAges'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/carage/CarAgeTask.scala
datalake-cleansing,CatchmentMappingTask,[],['clean.catchmentMapping'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/catchmentmapping/CatchmentMappingTask.scala
datalake-cleansing,CatchmentMappingWebTask,[],['clean.catchmentMappingWeb'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/catchmentmapping/CatchmentMappingWebTask.scala
datalake-cleansing,ChannelMappingTask,['manual.channelMapping'],['clean.channelMapping'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/channelmapping/ChannelMappingTask.scala
datalake-cleansing,DriveTimeTask,['manual.driveTime'],['clean.driveTime'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/drivetime/DriveTimeTask.scala
datalake-cleansing,FleetTireParkTask,[],['clean.fleets.by2019.link'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/fleet/it/FleetTireParkTask.scala
datalake-cleansing,PayerMappingTask,[],['clean.payerMapping'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/fsdcustomermapping/PayerMappingTask.scala
datalake-cleansing,WzwPointsOfSaleTask,[],['clean.wzwPointsOfSale'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/germandealerpartner/WzwPointsOfSaleTask.scala
datalake-cleansing,ActivationNationalTask,['manual.activationNational'],"['clean.activationNational', 'clean.activationNationalRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/activationarea/national/ActivationNationalTask.scala
datalake-cleansing,ActivationRegionalTask,['manual.activationRegional'],"['clean.activationRegional', 'clean.activationRegionalRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/activationarea/regional/ActivationRegionalTask.scala
datalake-cleansing,EraCurrencyCoefficientTask,['manual.eraCoefficient'],"['clean.eraCoefficient', 'clean.eraCoefficientRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/availability/coefficient/EraCurrencyCoefficientTask.scala
datalake-cleansing,RangeAvailabilityTask,['manual.rangeAvailability'],"['clean.rangeAvailability', 'clean.rangeAvailabilityRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/availability/RangeAvailabilityTask.scala
datalake-cleansing,PaybackMassaTask,[],['clean.paybacksMassa'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/pforp/payback/massa/PaybackMassaTask.scala
datalake-cleansing,PopulationTask,[],['clean.population'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/population/PopulationTask.scala
datalake-cleansing,CooperationRenameTask,[],['clean.cooperationRenames'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/renaming/CooperationRenameTask.scala
datalake-cleansing,AdSellOutSubTask,[],[],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/AdSellOutSubTask.scala
datalake-cleansing,SellOutValidateTask,"['manual.adWhitelist', 'yearLinks.goodDate']","['yearLinks.goodDateAppend', 'yearLinks.blockers', 'yearLinks.blockers', 'yearLinks.goodDate']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/validation/SellOutValidateTask.scala
datalake-cleansing,SellOutCurrentTask,['raw.adSellOut.year2021'],"['clean.adSellOut2021', 'clean.adSellOutRejected2021']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/years/SellOutCurrentTask.scala
datalake-cleansing,SellOutHeritageTask,['yearLink.goodDate'],"['cleanLink', 'rejectedLink']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/sellout/lizeo/years/SellOutHeritageTask.scala
datalake-cleansing,SpaghettiChartByYearTask,[],['clean.spaghettiChartByYear'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/spaghettichartbyyear/SpaghettiChartByYearTask.scala
datalake-cleansing,AdInventoryTask,[],['clean.adInventory'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/stock/lizeo/AdInventoryTask.scala
datalake-cleansing,SubChannelByYearTask,[],['clean.subChannelsByYear'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/subchannelbyyear/SubChannelByYearTask.scala
datalake-cleansing,UploadDateTask,[],['clean.uploadDate'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aligneddistribution/uploaddate/UploadDateTask.scala
datalake-cleansing,BeadbarCodeScanLogTask,['raw.beadbarCodeScanLog'],['clean.beadbarCodeScanLog'],https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/aws/beadbarcodescanlog/BeadbarCodeScanLogTask.scala
datalake-cleansing,IhsCpiTask,['manual.commercial.ihsCpi'],"['clean.commercial.ihsCpi', 'clean.commercial.ihsCpiRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsCpiTask.scala
datalake-cleansing,IhsGdpTask,['manual.commercial.ihsGdp'],"['clean.commercial.ihsGdp', 'clean.commercial.ihsGdpRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsGdpTask.scala
datalake-cleansing,IhsMeiTask,['manual.commercial.ihsMei'],"['clean.commercial.ihsMei', 'clean.commercial.ihsMeiRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsMeiTask.scala
datalake-cleansing,IhsPmiTask,['manual.commercial.ihsPmi'],"['clean.commercial.ihsPmi', 'clean.commercial.ihsPmiRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsPmiTask.scala
datalake-cleansing,IhsVehicleParcDensityTask,['manual.commercial.ihsVehicleParkDensity'],"['clean.commercial.ihsVehicleParkDensity', 'clean.commercial.ihsVehicleParkDensityRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleParcDensityTask.scala
datalake-cleansing,IhsVehicleParkTask,['manual.commercial.ihsVehiclePark'],"['clean.commercial.ihsVehiclePark', 'clean.commercial.ihsVehicleParkRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleParkTask.scala
datalake-cleansing,IhsVehicleProductionMonthlyTask,['manual.commercial.ihsVehicleProductionMonthly'],"['clean.commercial.ihsVehicleProductionMonthly', 'clean.commercial.ihsVehicleProductionMonthlyRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleProductionMonthlyTask.scala
datalake-cleansing,IhsVehicleProductionQuarterlyTask,['manual.commercial.ihsVehicleProductionQuarterly'],"['clean.commercial.ihsVehicleProductionQuarterly', 'clean.commercial.ihsVehicleProductionQuarterlyRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleProductionQuarterlyTask.scala
datalake-cleansing,IhsVehicleSalesMonthlyTask,['manual.commercial.ihsVehicleSalesMonthly'],"['clean.commercial.ihsVehicleSalesMonthly', 'clean.commercial.ihsVehicleSalesMonthlyRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleSalesMonthlyTask.scala
datalake-cleansing,IhsVehicleSalesYearlyTask,['manual.commercial.ihsVehicleSalesYearly'],"['clean.commercial.ihsVehicleSalesYearly', 'clean.commercial.ihsVehicleSalesYearlyRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleSalesYearlyTask.scala
datalake-cleansing,RoadFreightIndicatorsTask,['raw.commercial.inrixRoadFreightIndicators'],"['clean.commercial.inrixRoadFreightIndicators', 'clean.commercial.inrixRoadFreightIndicatorsRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/inrix/RoadFreightIndicatorsTask.scala
datalake-cleansing,CommercialSellOutTask,['raw.commercial.sellOut'],"['clean.commercial.sellOut', 'clean.commercial.sellOutRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/sellout/CommercialSellOutTask.scala
datalake-cleansing,ClearTrailerParcTask,['raw.commercial.clearTrailerParc'],"['clean.commercial.clearTrailerParc', 'clean.commercial.clearTrailerParcRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/trailer/ClearTrailerParcTask.scala
datalake-cleansing,ClearTrailerProductionTask,['raw.commercial.clearTrailerProduction'],"['clean.commercial.clearTrailerProduction', 'clean.commercial.clearTrailerProductionRejected']",https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/trailer/ClearTrailerProductionTask.scala
