project_name,task_name,source_datasets,target_datasets,location
datalake-ped,B2BTask,"['clean.tire24DailyPricing', 'clean.zero7zrPricing', 'clean.platformaOpon', 'clean.country']",['ped.b2b'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2b/B2BTask.scala
datalake-ped,B2BDailyTask,"['clean.tire24DailyPricing', 'clean.zero7zrPricing', 'clean.platformaOpon', 'clean.country']",['ped.b2bDaily'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2bdaily/B2BDailyTask.scala
datalake-ped,B2CTask,"['clean.lizeoWeeklyPricing', 'clean.knowtrexSinglePlatform', 'clean.knowtrexSinglePlatformV2', 'clean.country']",['ped.b2c'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2c/B2CTask.scala
datalake-ped,B2CDailyTask,"['clean.lizeoWeeklyPricing', 'clean.knowtrexSinglePlatform', 'clean.knowtrexSinglePlatformV2', 'clean.knowtrexMarketPlatform', 'clean.knowtrexMarketPlatformV2', 'clean.country']",['ped.b2cDaily'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
datalake-ped,BeadBarCodeTask,"['clean.beadbarCodeEvent', 'clean.edwCustomers', 'mdm.countryHierarchy']",['ped.beadBarCode'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcode/BeadBarCodeTask.scala
datalake-ped,BeadBarCodeAppTask,"['clean.beadbarCodeScanLog', 'clean.edwCustomers', 'mdm.countryHierarchy']",['ped.beadBarCodeScanLog'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcodeapp/BeadBarCodeAppTask.scala
datalake-ped,ConsumerMarketShareBasketSizeTypeCoverageTask,"['mdm.marketShareConsumerReplacementSemester', 'clean.groupedToBasketSizeTypeMapping']",['ped.consumerMarketShareBasketSizeTypeCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharebasketsizetypecoverage/ConsumerMarketShareBasketSizeTypeCoverageTask.scala
datalake-ped,ConsumerMarketShareCoverageTask,['mdm.marketShareConsumerReplacementSemester'],['ped.consumerMarketShareCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharecoverage/ConsumerMarketShareCoverageTask.scala
datalake-ped,ConsumerNetSalesBasketSizeTypeCoverageTask,['ped.netSalesWeightingBasket2020SizeType'],['ped.consumerNetSalesBasketSizeTypeCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumernetsalesbasketsizetypecoverage/ConsumerNetSalesBasketSizeTypeCoverageTask.scala
datalake-ped,ConsumerNetSalesCoverageTask,['ped.netSalesWeighting'],['ped.consumerNetSalesCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumernetsalescoverage/ConsumerNetSalesCoverageTask.scala
