name,qualifiedName,path,mark
clean.tire24DailyPricing,tire24DailyPricing,unknown,raw_dataset
clean.zero7zrPricing,zero7zrPricing,unknown,raw_dataset
clean.platformaOpon,platformaOpon,unknown,raw_dataset
clean.country,country,unknown,raw_dataset
ped.b2b,b2b,unknown,clean_dataset
clean.tire24DailyPricing,tire24DailyPricing,unknown,raw_dataset
clean.zero7zrPricing,zero7zrPricing,unknown,raw_dataset
clean.platformaOpon,platformaOpon,unknown,raw_dataset
clean.country,country,unknown,raw_dataset
ped.b2bDaily,b2bDaily,unknown,clean_dataset
clean.lizeoWeeklyPricing,lizeoWeeklyPricing,unknown,raw_dataset
clean.knowtrexSinglePlatform,knowtrexSinglePlatform,unknown,raw_dataset
clean.knowtrexSinglePlatformV2,knowtrexSinglePlatformV2,unknown,raw_dataset
clean.country,country,unknown,raw_dataset
ped.b2c,b2c,unknown,clean_dataset
clean.lizeoWeeklyPricing,lizeoWeeklyPricing,unknown,raw_dataset
clean.knowtrexSinglePlatform,knowtrexSinglePlatform,unknown,raw_dataset
clean.knowtrexSinglePlatformV2,knowtrexSinglePlatformV2,unknown,raw_dataset
clean.knowtrexMarketPlatform,knowtrexMarketPlatform,unknown,raw_dataset
clean.knowtrexMarketPlatformV2,knowtrexMarketPlatformV2,unknown,raw_dataset
clean.country,country,unknown,raw_dataset
ped.b2cDaily,b2cDaily,unknown,clean_dataset
clean.beadbarCodeEvent,beadbarCodeEvent,unknown,raw_dataset
clean.edwCustomers,edwCustomers,unknown,raw_dataset
mdm.countryHierarchy,countryHierarchy,unknown,raw_dataset
ped.beadBarCode,beadBarCode,unknown,clean_dataset
clean.beadbarCodeScanLog,beadbarCodeScanLog,unknown,raw_dataset
clean.edwCustomers,edwCustomers,unknown,raw_dataset
mdm.countryHierarchy,countryHierarchy,unknown,raw_dataset
ped.beadBarCodeScanLog,beadBarCodeScanLog,unknown,clean_dataset
mdm.marketShareConsumerReplacementSemester,marketShareConsumerReplacementSemester,unknown,raw_dataset
clean.groupedToBasketSizeTypeMapping,groupedToBasketSizeTypeMapping,unknown,raw_dataset
ped.consumerMarketShareBasketSizeTypeCoverage,consumerMarketShareBasketSizeTypeCoverage,unknown,clean_dataset
mdm.marketShareConsumerReplacementSemester,marketShareConsumerReplacementSemester,unknown,raw_dataset
ped.consumerMarketShareCoverage,consumerMarketShareCoverage,unknown,clean_dataset
ped.netSalesWeightingBasket2020SizeType,netSalesWeightingBasket2020SizeType,unknown,raw_dataset
ped.consumerNetSalesBasketSizeTypeCoverage,consumerNetSalesBasketSizeTypeCoverage,unknown,clean_dataset
ped.netSalesWeighting,netSalesWeighting,unknown,raw_dataset
ped.consumerNetSalesCoverage,consumerNetSalesCoverage,unknown,clean_dataset
clean.floorPrice,floorPrice,unknown,raw_dataset
mdm.tireMaster,tireMaster,unknown,raw_dataset
ped.floorPriceEan,floorPriceEan,unknown,clean_dataset
mdm.gfkConsumer,gfkConsumer,unknown,raw_dataset
clean.designMappingGFKGoodyear,designMappingGFKGoodyear,unknown,raw_dataset
clean.groupedToBasketSizeTypeMapping,groupedToBasketSizeTypeMapping,unknown,raw_dataset
ped.gfkconsumerbasketsizetype,gfkconsumerbasketsizetype,unknown,clean_dataset
