index,project_name,task_name,source_datasets,target_datasets,location
0,datalake-ped,B2BTask,"['clean.tire24DailyPricing', 'clean.zero7zrPricing', 'clean.platformaOpon', 'clean.country']",['ped.b2b'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2b/B2BTask.scala
1,datalake-ped,B2BDailyTask,"['clean.tire24DailyPricing', 'clean.zero7zrPricing', 'clean.platformaOpon', 'clean.country']",['ped.b2bDaily'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2bdaily/B2BDailyTask.scala
2,datalake-ped,B2CTask,"['clean.lizeoWeeklyPricing', 'clean.knowtrexSinglePlatform', 'clean.knowtrexSinglePlatformV2', 'clean.country']",['ped.b2c'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2c/B2CTask.scala
3,datalake-ped,B2CDailyTask,"['clean.lizeoWeeklyPricing', 'clean.knowtrexSinglePlatform', 'clean.knowtrexSinglePlatformV2', 'clean.knowtrexMarketPlatform', 'clean.knowtrexMarketPlatformV2', 'clean.country']",['ped.b2cDaily'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/b2cdaily/B2CDailyTask.scala
4,datalake-ped,BeadBarCodeTask,"['clean.beadbarCodeEvent', 'clean.edwCustomers', 'mdm.countryHierarchy']",['ped.beadBarCode'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcode/BeadBarCodeTask.scala
5,datalake-ped,BeadBarCodeAppTask,"['clean.beadbarCodeScanLog', 'clean.edwCustomers', 'mdm.countryHierarchy']",['ped.beadBarCodeScanLog'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/beadbarcodeapp/BeadBarCodeAppTask.scala
6,datalake-ped,ConsumerMarketShareBasketSizeTypeCoverageTask,"['mdm.marketShareConsumerReplacementSemester', 'clean.groupedToBasketSizeTypeMapping']",['ped.consumerMarketShareBasketSizeTypeCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharebasketsizetypecoverage/ConsumerMarketShareBasketSizeTypeCoverageTask.scala
7,datalake-ped,ConsumerMarketShareCoverageTask,['mdm.marketShareConsumerReplacementSemester'],['ped.consumerMarketShareCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumermarketsharecoverage/ConsumerMarketShareCoverageTask.scala
8,datalake-ped,ConsumerNetSalesBasketSizeTypeCoverageTask,['ped.netSalesWeightingBasket2020SizeType'],['ped.consumerNetSalesBasketSizeTypeCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumernetsalesbasketsizetypecoverage/ConsumerNetSalesBasketSizeTypeCoverageTask.scala
9,datalake-ped,ConsumerNetSalesCoverageTask,['ped.netSalesWeighting'],['ped.consumerNetSalesCoverage'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/consumernetsalescoverage/ConsumerNetSalesCoverageTask.scala
10,datalake-ped,FloorPriceEanTask,"['clean.floorPrice', 'mdm.tireMaster']",['ped.floorPriceEan'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/floorpriceean/FloorPriceEanTask.scala
11,datalake-ped,GFKConsumerBasketSizeTypeTask,"['mdm.gfkConsumer', 'clean.designMappingGFKGoodyear', 'clean.groupedToBasketSizeTypeMapping']",['ped.gfkconsumerbasketsizetype'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/gfkconsumerbasketsizetype/GFKConsumerBasketSizeTypeTask.scala
12,datalake-ped,GreyBlueMarketAnalyticsTask,"['clean.orderToCashMart', 'ped.beadBarCode', 'clean.edwCustomers', 'mdm.countryHierarchy', 'mdm.tireMaster']",['ped.greyBlueMarketAnalytics'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/greybluemarketanalytics/GreyBlueMarketAnalyticsTask.scala
13,datalake-ped,GreyBlueMarketAnalyticsBillingTask,"['clean.copa', 'clean.floorPrice', 'clean.edwCustomers', 'mdm.countryHierarchy']",['ped.greyBlueMarketAnalyticsBilling'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/greybluemarketanalyticsbilling/GreyBlueMarketAnalyticsBillingTask.scala
14,datalake-ped,NetSalesWeightingTask,"['clean.netSales', 'mdm.consumerTireMaster']",['ped.netSalesWeighting'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/netsalesweighting/NetSalesWeightingTask.scala
15,datalake-ped,NetSalesWeightingBasket2020SizeTypeTask,"['clean.netSales', 'ped.tireMaster']",['ped.netSalesWeightingBasket2020SizeType'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/netsalesweightingbasket2020sizetype/NetSalesWeightingBasket2020SizeTypeTask.scala
16,datalake-ped,PlatformCustomerMappingCalcTask,"['clean.platformCustomerMapping', 'clean.edwCustomers', 'clean.customerHierarchy']",['ped.platformCustomerMappingCalc'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/platformcustomermappingcalc/PlatformCustomerMappingCalcTask.scala
17,datalake-ped,PricingAnalyticsTask,"['ped.b2b', 'ped.b2c', 'ped.netSalesWeighting', 'ped.tireMaster', 'mdm.countryHierarchy', 'mdm.consumerSizeMaster', 'mdm.marketShareConsumerReplacementSemester']",['ped.pricinganalytics'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
